atomic number, density (g/cm3), initial energy eV, number trajectories, repetition id, bse, bse variance, bse std, te, te variance, te std, elapse time s
29, 15, 15000, 1000000, 10, 0.329121, 2.208e-07, 0.000469894, 0, 0, 0, 86.2117
29, 20, 15000, 1000000, 1, 0.329496, 2.20928e-07, 0.00047003, 0, 0, 0, 86.1216
29, 20, 15000, 1000000, 2, 0.329189, 2.20824e-07, 0.000469919, 0, 0, 0, 86.179
29, 20, 15000, 1000000, 3, 0.329709, 2.21001e-07, 0.000470107, 0, 0, 0, 86.1133
29, 20, 15000, 1000000, 4, 0.328643, 2.20637e-07, 0.00046972, 0, 0, 0, 86.215
29, 20, 15000, 1000000, 5, 0.3296, 2.20964e-07, 0.000470068, 0, 0, 0, 86.1353
29, 20, 15000, 1000000, 6, 0.329163, 2.20815e-07, 0.000469909, 0, 0, 0, 86.1694
29, 20, 15000, 1000000, 7, 0.32862, 2.20629e-07, 0.000469712, 0, 0, 0, 86.3241
29, 20, 15000, 1000000, 8, 0.328473, 2.20578e-07, 0.000469658, 0, 0, 0, 86.2467
29, 20, 15000, 1000000, 9, 0.329338, 2.20874e-07, 0.000469973, 0, 0, 0, 86.1731
29, 20, 15000, 1000000, 10, 0.329417, 2.20901e-07, 0.000470002, 0, 0, 0, 86.1539
29, 30, 15000, 1000000, 1, 0.329127, 2.20802e-07, 0.000469896, 0, 0, 0, 86.1942
29, 30, 15000, 1000000, 2, 0.329205, 2.20829e-07, 0.000469925, 0, 0, 0, 86.1988
29, 30, 15000, 1000000, 3, 0.328749, 2.20673e-07, 0.000469759, 0, 0, 0, 86.2296
29, 30, 15000, 1000000, 4, 0.329307, 2.20864e-07, 0.000469962, 0, 0, 0, 86.176
29, 30, 15000, 1000000, 5, 0.328606, 2.20624e-07, 0.000469706, 0, 0, 0, 86.3777
29, 30, 15000, 1000000, 6, 0.328702, 2.20657e-07, 0.000469741, 0, 0, 0, 86.2827
29, 30, 15000, 1000000, 7, 0.328836, 2.20703e-07, 0.00046979, 0, 0, 0, 86.2287
29, 30, 15000, 1000000, 8, 0.329135, 2.20805e-07, 0.000469899, 0, 0, 0, 86.1838
29, 30, 15000, 1000000, 9, 0.329553, 2.20948e-07, 0.000470051, 0, 0, 0, 86.1373
29, 30, 15000, 1000000, 10, 0.328493, 2.20585e-07, 0.000469665, 0, 0, 0, 86.2575
29, 40, 15000, 1000000, 1, 0.328973, 2.2075e-07, 0.00046984, 0, 0, 0, 86.191
29, 40, 15000, 1000000, 2, 0.328496, 2.20586e-07, 0.000469666, 0, 0, 0, 86.2951
29, 40, 15000, 1000000, 3, 0.329523, 2.20938e-07, 0.00047004, 0, 0, 0, 86.219
29, 40, 15000, 1000000, 4, 0.329228, 2.20837e-07, 0.000469933, 0, 0, 0, 86.2169
29, 40, 15000, 1000000, 5, 0.32938, 2.20889e-07, 0.000469988, 0, 0, 0, 86.1834
29, 40, 15000, 1000000, 6, 0.329647, 2.2098e-07, 0.000470085, 0, 0, 0, 86.158
29, 40, 15000, 1000000, 7, 0.329085, 2.20788e-07, 0.000469881, 0, 0, 0, 86.221
29, 40, 15000, 1000000, 8, 0.32918, 2.20821e-07, 0.000469915, 0, 0, 0, 86.2495
29, 40, 15000, 1000000, 9, 0.328777, 2.20683e-07, 0.000469769, 0, 0, 0, 86.3041
29, 40, 15000, 1000000, 10, 0.329996, 2.21099e-07, 0.000470211, 0, 0, 0, 86.1457
29, 50, 15000, 1000000, 1, 0.329184, 2.20822e-07, 0.000469917, 0, 0, 0, 86.2193
29, 50, 15000, 1000000, 2, 0.328798, 2.2069e-07, 0.000469776, 0, 0, 0, 86.2543
29, 50, 15000, 1000000, 3, 0.32841, 2.20557e-07, 0.000469635, 0, 0, 0, 86.2742
29, 50, 15000, 1000000, 4, 0.328824, 2.20699e-07, 0.000469786, 0, 0, 0, 86.2506
29, 50, 15000, 1000000, 5, 0.328239, 2.20498e-07, 0.000469572, 0, 0, 0, 86.2713
29, 50, 15000, 1000000, 6, 0.329454, 2.20914e-07, 0.000470015, 0, 0, 0, 86.2344
29, 50, 15000, 1000000, 7, 0.328917, 2.20731e-07, 0.00046982, 0, 0, 0, 86.2565
29, 50, 15000, 1000000, 8, 0.328509, 2.20591e-07, 0.000469671, 0, 0, 0, 86.2982
29, 50, 15000, 1000000, 9, 0.328796, 2.20689e-07, 0.000469776, 0, 0, 0, 86.2402
29, 50, 15000, 1000000, 10, 0.329508, 2.20932e-07, 0.000470035, 0, 0, 0, 86.1493
